Filename,Chunk Size,Generated Question,dynamic_tinybert_q_a_2048_1 Docs,dynamic_tinybert_q_a_2048_3 Docs,dynamic_tinybert_q_a_2048_5 Docs,dynamic_tinybert_q_a_2048_10 Docs,gpt2-medium_q_a_2048_gpt2-medium_q_a_2048_1 Docs,gpt2-medium_q_a_2048_gpt2-medium_q_a_2048_10 Docs,gpt2-medium_q_a_2048_gpt2-medium_q_a_2048_3 Docs,gpt2-medium_q_a_2048_gpt2-medium_q_a_2048_5 Docs,t5-base_q_a_2048_t5-base_q_a_2048_1 Docs,t5-base_q_a_2048_t5-base_q_a_2048_10 Docs,t5-base_q_a_2048_t5-base_q_a_2048_3 Docs,t5-base_q_a_2048_t5-base_q_a_2048_5 Docs
home-network-security_chunk_2.txt,2048,What is the best way to secure your WiFi router,to become an educated and cautious user,to become an educated and cautious user,to become an educated and cautious user,to become an educated and cautious user,’s website to monitor for unauthorized devices joining or attempting,’s website to monitor for unauthorized devices joining or attempting,’s website to monitor for unauthorized devices joining or attempting,’s website to monitor for unauthorized devices joining or attempting,False,False,False,False
aa23-278a_chunk_4.txt,2048,What is the purpose of providing the information in Appendix Table,all referenced threat actor tactics and techniques,all referenced threat actor tactics and techniques,all referenced threat actor tactics and techniques,all referenced threat actor tactics and techniques,&CK Techniques,&CK Techniques,&CK Techniques,&CK Techniques,ATT&CK Tactics and Techniques See Table 12–Table 21,ATT&CK Tactics and Techniques See Table 12–Table 21,ATT&CK Tactics and Techniques See Table 12–Table 21,ATT&CK Tactics and Techniques See Table 12–Table 21
aa22-055a_chunk_2.txt,2048,What is the purpose of this persistence file,To report suspicious or criminal activity,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,extortion of the organization,"related to these threats, contact CISA at Central@cisa","enumerate accessible network shares in a domain.[21],[22","6, 2021","6, 2021",Path Telegram Session Persistence File (Obfuscated) %LocalAppData%MicrosoftWindowsOutlookDataPlus.txt,ssh.exe on a recurring basis,Path Telegram Session Persistence File (Obfuscated) %LocalAppData%MicrosoftWindowsOutlookDataPlus.txt,ssh.exe on a recurring basis
aa22-117a_chunk_1.txt,2048,What is the purpose of using the Remote PowerShell feature in Exchange server,CCCS Alert Active Exploitation,CCCS Alert Active Exploitation,CCCS Alert Active Exploitation,CCCS Alert Active Exploitation,advisories. Canadian organizations,advisories. Canadian organizations,advisories. Canadian organizations,advisories. Canadian organizations,"Microsoft Exchange Server Remote Code Execution Vulnerability, CVE-2021-31207","Microsoft Exchange Server Remote Code Execution Vulnerability, CVE-2021-31207","Microsoft Exchange Server Remote Code Execution Vulnerability, CVE-2021-31207","Microsoft Exchange Server Remote Code Execution Vulnerability, CVE-2021-31207"
aa20-301a_chunk_1.txt,2048,What is the purpose of collecting data and sending them through the email,To request incident response resources or technical assistance related to these threats,To request incident response resources or technical assistance related to these threats,To request incident response resources or technical assistance related to these threats,To request incident response resources or technical assistance related to these threats,and Control [TA0011] (Remote Access Software [T1219,and Control [TA0011] (Remote Access Software [T1219,and Control [TA0011] (Remote Access Software [T1219,and Control [TA0011] (Remote Access Software [T1219,mshta is a key that is used to encrypt the data before sending it to a C2 server .,True,mshta is a key that is used to encrypt the data before sending it to a C2 server .,mshta is a key that is used to encrypt the data before sending it to a C2 server .
aa22-320a_chunk_1.txt,2048,What is the purpose of monitoring for executed command history and logged commands on systems to detect suspicious behavior,Analyze your detection and prevention technologies performance,Analyze your detection and prevention technologies performance,Analyze your detection and prevention technologies performance,Analyze your detection and prevention technologies performance,e.g,e.g,e.g,e.g,True,True,True,True
aa23-187a_chunk_2.txt,2048,What is the best way to protect sensitive data in an environment that is segmented and has multiple layers of security,Privacy & Use policy,Privacy & Use policy,Privacy & Use policy,Privacy & Use policy,"does not constitute or imply endorsement, recommendation","does not constitute or imply endorsement, recommendation","does not constitute or imply endorsement, recommendation","does not constitute or imply endorsement, recommendation",Strong passwords or Active Directory authentication,Strong passwords or Active Directory authentication,Strong passwords or Active Directory authentication,Strong passwords or Active Directory authentication
aa24-038a_chunk_0.txt,2048,What is the main purpose of applying the mitigation strategies outlined in  the advisory,to hunt for similar malicious activity,to hunt for similar malicious activity,to hunt for similar malicious activity,tracking and correlation against other incidents,.S,CISA at this,.S,.S,primarily intended for IT and OT administrators in critical infrastructure organizations,mapping malicious cyber activity to the MITRE ATT&CK framework,primarily intended for IT and OT administrators in critical infrastructure organizations,mapping malicious cyber activity to the MITRE ATT&CK framework
ar21-134a_chunk_2.txt,2048,What is the purpose of the 5-day internet disconnect for agency network,will require the enterprise network to be disconnected from the internet,will require the enterprise network to be disconnected from the internet,will require the enterprise network to be disconnected from the internet,will require the enterprise network to be disconnected from the internet,729-2472) Email,729-2472) Email,729-2472) Email,729-2472) Email,The steps provided in this guidance are resource-intensive and highly complex and will require the enterprise network to be disconnected from the internet for 3–5 days,The steps provided in this guidance are resource-intensive and highly complex and will require the enterprise network to be disconnected from the internet for 3–5 days,The steps provided in this guidance are resource-intensive and highly complex and will require the enterprise network to be disconnected from the internet for 3–5 days,The steps provided in this guidance are resource-intensive and highly complex and will require the enterprise network to be disconnected from the internet for 3–5 days
aa23-158a_chunk_2.txt,2048,What information can the authorities request from the public in order to investigate the MOVEi Transfer vulnerability,any information that can be shared,any information that can be shared,any information that can be shared,any information that can be shared,/or fund illicit activities. Regardless,/or fund illicit activities. Regardless,/or fund illicit activities. Regardless,/or fund illicit activities. Regardless,"FBI is seeking any information that can be shared, to include boundary logs showing communication to and from foreign IP addresses, a sample ransom note, communications with CL0P group actors, Bitcoin wallet information, decryptor files, and/or a benign sample of an encrypted file","FBI is seeking any information that can be shared, to include boundary logs showing communication to and from foreign IP addresses, a sample ransom note, communications with CL0P group actors, Bitcoin wallet information, decryptor files, and/or a benign sample of an encrypted file","FBI is seeking any information that can be shared, to include boundary logs showing communication to and from foreign IP addresses, a sample ransom note, communications with CL0P group actors, Bitcoin wallet information, decryptor files, and/or a benign sample of an encrypted file","FBI is seeking any information that can be shared, to include boundary logs showing communication to and from foreign IP addresses, a sample ransom note, communications with CL0P group actors, Bitcoin wallet information, decryptor files, and/or a benign sample of an encrypted file"
