Filename,Chunk Size,Generated Question,dynamic_tinybert_q_a_256_dynamic_tinybert_q_a_256_1 Docs,dynamic_tinybert_q_a_256_dynamic_tinybert_q_a_256_10 Docs,dynamic_tinybert_q_a_256_dynamic_tinybert_q_a_256_3 Docs,dynamic_tinybert_q_a_256_dynamic_tinybert_q_a_256_5 Docs,gpt2-medium_q_a_256_gpt2-medium_q_a_256_1 Docs,gpt2-medium_q_a_256_gpt2-medium_q_a_256_10 Docs,gpt2-medium_q_a_256_gpt2-medium_q_a_256_3 Docs,gpt2-medium_q_a_256_gpt2-medium_q_a_256_5 Docs,roberta-base_q_a_256_roberta-base_q_a_256_1 Docs,roberta-base_q_a_256_roberta-base_q_a_256_10 Docs,roberta-base_q_a_256_roberta-base_q_a_256_3 Docs,roberta-base_q_a_256_roberta-base_q_a_256_5 Docs,t5-base_q_a_256_t5-base_q_a_256_1 Docs,t5-base_q_a_256_t5-base_q_a_256_10 Docs,t5-base_q_a_256_t5-base_q_a_256_3 Docs,t5-base_q_a_256_t5-base_q_a_256_5 Docs
aa20-352a_chunk_15.txt,256,,"routers, switches, firewalls","routers, switches, firewalls","routers, switches, firewalls","routers, switches, firewalls",Remediating Malicious Activity for more information on incident investigation and mitigation steps based,Remediating Malicious Activity for more information on incident investigation and mitigation steps based,Remediating Malicious Activity for more information on incident investigation and mitigation steps based,Remediating Malicious Activity for more information on incident investigation and mitigation steps based,software should be checked against known good hash values,software should be checked against known good hash values,software should be checked against known good hash values,software should be checked against known good hash values,used by or stored in SolarWinds software,used by or stored in SolarWinds software,used by or stored in SolarWinds software,used by or stored in SolarWinds software
aa23-215a_chunk_8.txt,256,,establishes prioritization of patch applications,establishes prioritization of patch applications,establishes prioritization of patch applications,establishes prioritization of patch applications,.e,.e,.e,.e,infrastructure.,infrastructure.,infrastructure.,infrastructure.,,,,
aa21-209a_chunk_3.txt,256,,CVEs known to be exploited,CVEs known to be exploited,CVEs known to be exploited,CVEs known to be exploited,"mitigations, if provided by the vendor. If an organization is unable","mitigations, if provided by the vendor. If an organization is unable","mitigations, if provided by the vendor. If an organization is unable","mitigations, if provided by the vendor. If an organization is unable",vulnerabilities that,vulnerabilities that,vulnerabilities that,vulnerabilities that,"CVE-2021-26855, CVE-2021-26857, CVE-2021-26858, and CVE-2021-27065","CVE-2021-26855, CVE-2021-26857, CVE-2021-26858, and CVE-2021-27065","CVE-2021-26855, CVE-2021-26857, CVE-2021-26858, and CVE-2021-27065","CVE-2021-26855, CVE-2021-26857, CVE-2021-26858, and CVE-2021-27065"
icsa-24-074-07_chunk_42.txt,256,,User interaction is not needed for exploitation,high attack complexity,User interaction is not needed for exploitation,User interaction is not needed for exploitation,5.5 has been calculated; the CVSS vector string is,CISA at this,5.5 has been calculated; the CVSS vector string is,5.5 has been calculated; the CVSS vector string is,additional execution privileges needed. User,vulnerability has been reported to CISA at this time.,additional execution privileges needed. User,additional execution privileges needed. User,"A CVSS v3 base score of 7.8 has been calculated; the CVSS vector string is (CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H). 3.2.138 USE AFTER FREE CWE-416 In fs/eventpoll.c, there is a possible use after free",FALSE,TRUE,TRUE
icsa-23-222-09_chunk_0.txt,256,,could allow an attacker to recover the product’s connection secret,memory leak,memory leak,memory leak,SIMATIC PDM V9.2: versions prior to V9,7.8 has been assigned,7.8 has been assigned,7.8 has been assigned,versions ​,The manipulation leads to use,The manipulation leads to use,The manipulation leads to use,RISK EVALUATION Successful exploitation of this vulnerability could allow an attacker to recover the product’s connection secret,3.2.11 IMPROPER CERTIFICATE VALIDATION CWE-295,CVE-2022-20355 has been assigned to this vulnerability,3.2.11 IMPROPER CERTIFICATE VALIDATION CWE-295
icsa-24-046-11_chunk_20.txt,256,,a workaround,a workaround,a workaround,a workaround,3.9.16 and 3.10.x before 3.10,3.9.16 and 3.10.x before 3.10,3.9.16 and 3.10.x before 3.10,3.9.16 and 3.10.x before 3.10,users,users,users,users,a workaround,a workaround,a workaround,a workaround
aa21-356a_chunk_6.txt,256,,Physically removing the asset from the network,Physically removing the asset from the network,Physically removing the asset from the network,Physically removing the asset from the network,e.g,e.g,e.g,e.g,version,version,version,version,"Physically removing the asset from the network (e.g., unplug the network cable); Moving the asset to a “jail VLAN” with heightened monitoring and security",TRUE,"Physically removing the asset from the network (e.g., unplug the network cable); Moving the asset to a “jail VLAN” with heightened monitoring and security","Physically removing the asset from the network (e.g., unplug the network cable); Moving the asset to a “jail VLAN” with heightened monitoring and security"
aa20-275a_chunk_12.txt,256,,Server Core installation,Microsoft Security Advisory,Server Core installation,Microsoft Security Advisory,9.8,dhs.gov (UNCLASS) CISA encourages you,9.8,dhs.gov (UNCLASS) CISA encourages you,version 2004 (Server Core installation) Microsoft Security Advisory for CVE,Threatens,version 2004 (Server Core installation) Microsoft Security Advisory for CVE,Threatens,Windows 7 for 32-bit Systems Service Pack 1 Windows 7 for x64-based Systems Service Pack 2,Windows 7 for 32-bit Systems Service Pack 1 Windows 7 for x64-based Systems Service Pack 2,Windows 7 for 32-bit Systems Service Pack 1 Windows 7 for x64-based Systems Service Pack 2,Windows 7 for 32-bit Systems Service Pack 1 Windows 7 for x64-based Systems Service Pack 2
aa23-187a_chunk_15.txt,256,,to prevent caching of password hashes locally,to prevent caching of password hashes locally,to prevent caching of password hashes locally,to prevent caching of password hashes locally,2.E]. For example,2.E]. For example,2.E]. For example,2.E]. For example,users,users,users,users,to prevent caching of password hashes locally,to prevent caching of password hashes locally,to prevent caching of password hashes locally,to prevent caching of password hashes locally
home-network-security_chunk_14.txt,256,,Use strong and unique passwords,Ensuring that your firewall is on and all the settings are properly configured,Use strong and unique passwords,no-cost scanning and testing services,"such as viruses, worms","addition to a network firewall, consider installing a firewall on all computers connected","such as viruses, worms",.g,software application is an important protective measure against known malicious threats,"software-based, these firewalls",software application is an important protective measure against known malicious threats,interacting,TRUE,TRUE,TRUE,TRUE
aa22-277a_chunk_12.txt,256,,stringent access controls to sensitive data and resources,stringent access controls to sensitive data and resources,stringent access controls to sensitive data and resources,stringent access controls to sensitive data and resources,.g,.g,.g,.g,"addition to applying mitigations, CISA, FBI, and","addition to applying mitigations, CISA, FBI, and","addition to applying mitigations, CISA, FBI, and","addition to applying mitigations, CISA, FBI, and",Implement stringent access controls to sensitive data and resources,Implement stringent access controls to sensitive data and resources,Implement stringent access controls to sensitive data and resources,Implement stringent access controls to sensitive data and resources
aa23-136a_chunk_8.txt,256,,enumerates registry,enumerates registry,enumerates registry,enumerates registry,BianLian group,BianLian group,BianLian group,BianLian group,malware collects,malware collects,malware collects,malware collects,BianLian group used malware (system.exe) that enumerates files,BianLian group used malware (system.exe) that enumerates files,BianLian group used malware (system.exe) that enumerates files,BianLian group used malware (system.exe) that enumerates files
aa23-075a_chunk_15.txt,256,,This product is provided subject to this Notification and this Privacy & Use policy,This product is provided subject to this Notification and this Privacy & Use policy,This product is provided subject to this Notification and this Privacy & Use policy,This product is provided subject to this Notification and this Privacy & Use policy,. Please take a few minutes,. Please take a few minutes,. Please take a few minutes,. Please take a few minutes,opinions on this product through an anonymous Product Feedback Survey.,opinions on this product through an anonymous Product Feedback Survey.,opinions on this product through an anonymous Product Feedback Survey.,opinions on this product through an anonymous Product Feedback Survey.,,,,
ar23-243a_chunk_15.txt,256,,to exfiltrate data,to exfiltrate data,to exfiltrate data,to exfiltrate data,level of C++ knowledge to make the alterations and an awareness,level of C++ knowledge to make the alterations and an awareness,level of C++ knowledge to make the alterations and an awareness,level of C++ knowledge to make the alterations and an awareness,techniques are present in,techniques are present in,techniques are present in,techniques are present in,,,,
icsa-23-166-11_chunk_8.txt,256,,crash the system or escalate their privileges on the system,crash the system or escalate their privileges on the system,crash the system or escalate their privileges on the system,crash the system or escalate their privileges on the system,2022-2959 has been assigned to this vulnerability,2022-2959 has been assigned to this vulnerability,2022-2959 has been assigned to this vulnerability,2022-2959 has been assigned to this vulnerability,operations on an object. This flaw allows a local user,operations on an object. This flaw allows a local user,operations on an object. This flaw allows a local user,operations on an object. This flaw allows a local user,crash the system or escalate their privileges on the system,crash the system or escalate their privileges on the system,crash the system or escalate their privileges on the system,crash the system or escalate their privileges on the system
icsa-23-166-11_chunk_35.txt,256,,Improving Industrial Control Systems Cybersecurity with Defense-in-Depth Strategies,Improving Industrial Control Systems Cybersecurity with Defense-in-Depth Strategies,Improving Industrial Control Systems Cybersecurity with Defense-in-Depth Strategies,Improving Industrial Control Systems Cybersecurity with Defense-in-Depth Strategies,cisa.gov,cisa.gov,cisa.gov,cisa.gov,Organizations observing suspected malicious,Organizations observing suspected malicious,Organizations observing suspected malicious,Organizations observing suspected malicious,appropriate mechanisms,appropriate mechanisms,appropriate mechanisms,appropriate mechanisms
aa22-055a_chunk_2.txt,256,,to hide C2 functions,to hide C2 functions,to hide C2 functions,to hide C2 functions,"According to a sample analyzed by NCSC-UK, Small","According to a sample analyzed by NCSC-UK, Small","According to a sample analyzed by NCSC-UK, Small","According to a sample analyzed by NCSC-UK, Small",Python [T1059.006] backdoor,Python [T1059.006] backdoor,Python [T1059.006] backdoor,Python [T1059.006] backdoor,hide C2 functions,hide C2 functions,hide C2 functions,hide C2 functions
