Filename,Chunk Size,Generated Question,dynamic_tinybert_q_a_512_dynamic_tinybert_q_a_512_1 Docs,dynamic_tinybert_q_a_512_dynamic_tinybert_q_a_512_10 Docs,dynamic_tinybert_q_a_512_dynamic_tinybert_q_a_512_3 Docs,dynamic_tinybert_q_a_512_dynamic_tinybert_q_a_512_5 Docs,gpt2-medium_q_a_512_gpt2-medium_q_a_512_1 Docs,gpt2-medium_q_a_512_gpt2-medium_q_a_512_10 Docs,gpt2-medium_q_a_512_gpt2-medium_q_a_512_3 Docs,gpt2-medium_q_a_512_gpt2-medium_q_a_512_5 Docs,t5-base_q_a_512_t5-base_q_a_512_1 Docs,t5-base_q_a_512_t5-base_q_a_512_10 Docs,t5-base_q_a_512_t5-base_q_a_512_3 Docs,t5-base_q_a_512_t5-base_q_a_512_5 Docs
aa23-215a_chunk_8.txt,512,,CVE-2022-41082 Vulnerability Alert – 2,CVE-2022-41082 Vulnerability Alert – 2,CVE-2022-41082 Vulnerability Alert – 2,CVE-2022-41082 Vulnerability Alert – 2,"0.6, FortiProxy version 7.2","0.6, FortiProxy version 7.2","0.6, FortiProxy version 7.2","0.6, FortiProxy version 7.2","FortiOS version 7.2.0 through 7.2.1 and 7.0.0 through 7.0.6, FortiProxy version 7.2.0 and version 7.0.0 through 7.0.6 and FortiSwitchManager version 7.2.0 and 7.0.0","FortiOS version 7.2.0 through 7.2.1 and 7.0.0 through 7.0.6, FortiProxy version 7.2.0 and version 7.0.0 through 7.0.6 and FortiSwitchManager version 7.2.0 and 7.0.0","FortiOS version 7.2.0 through 7.2.1 and 7.0.0 through 7.0.6, FortiProxy version 7.2.0 and version 7.0.0 through 7.0.6 and FortiSwitchManager version 7.2.0 and 7.0.0","FortiOS version 7.2.0 through 7.2.1 and 7.0.0 through 7.0.6, FortiProxy version 7.2.0 and version 7.0.0 through 7.0.6 and FortiSwitchManager version 7.2.0 and 7.0.0"
aa21-209a_chunk_3.txt,512,,to gain access to administrative credentials,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,Globally FBI FLASH: Indicators Associated,"6, 2021","6, 2021","6, 2021",Vulnerabilities Exploited in VPN Products Used Worldwide,TRUE,Vulnerabilities Exploited in VPN Products Used Worldwide,TRUE
icsa-23-222-09_chunk_0.txt,512,,SIMATIC Cloud Connect 7 CC712,SIMATIC Cloud Connect 7 CC712,SIMATIC Cloud Connect 7 CC712,SIMATIC Cloud Connect 7 CC712,SIMATIC S7-1500 CPU 1512C-1 PN,SIMATIC S7-1500 CPU 1512C-1 PN,SIMATIC S7-1500 CPU 1512C-1 PN,SIMATIC S7-1500 CPU 1512C-1 PN,V3.0.3 SIMATIC S7-1500 CPU 1511F-1 PN (6ES7511-1DJ01-0AB0): versions prior to V2.9.7 SIMATIC S7-1500 CPU 1511F-1 PN (6ES7511-1DJ01-0AB0): versions prior to V2.9.7 SIMATIC S7-1500 CPU 1511F-1 PN (6ES7511-1DJ01-0AB0): versions prior to V2.9.7 SIMATIC S7-1500 CPU,V3.0.3 SIMATIC S7-1500 CPU 1511F-1 PN (6ES7511-1DJ01-0AB0): versions prior to V2.9.7 SIMATIC S7-1500 CPU 1511F-1 PN (6ES7511-1DJ01-0AB0): versions prior to V2.9.7 SIMATIC S7-1500 CPU 1511F-1 PN (6ES7511-1DJ01-0AB0): versions prior to V2.9.7 SIMATIC S7-1500 CPU,V3.0.3 SIMATIC S7-1500 CPU 1511F-1 PN (6ES7511-1DJ01-0AB0): versions prior to V2.9.7 SIMATIC S7-1500 CPU 1511F-1 PN (6ES7511-1DJ01-0AB0): versions prior to V2.9.7 SIMATIC S7-1500 CPU 1511F-1 PN (6ES7511-1DJ01-0AB0): versions prior to V2.9.7 SIMATIC S7-1500 CPU,V3.0.3 SIMATIC S7-1500 CPU 1511F-1 PN (6ES7511-1DJ01-0AB0): versions prior to V2.9.7 SIMATIC S7-1500 CPU 1511F-1 PN (6ES7511-1DJ01-0AB0): versions prior to V2.9.7 SIMATIC S7-1500 CPU 1511F-1 PN (6ES7511-1DJ01-0AB0): versions prior to V2.9.7 SIMATIC S7-1500 CPU
icsa-24-046-11_chunk_20.txt,512,,termination,termination,termination,termination,2023-27522 has been assigned to this vulnerability,2023-27522 has been assigned to this vulnerability,2023-27522 has been assigned to this vulnerability,2023-27522 has been assigned to this vulnerability,3.2.116 USE OF UNINITIALIZED RESOURCE CWE-908,3.2.116 USE OF UNINITIALIZED RESOURCE CWE-908,3.2.116 USE OF UNINITIALIZED RESOURCE CWE-908,3.2.116 USE OF UNINITIALIZED RESOURCE CWE-908
aa21-356a_chunk_6.txt,512,,latest,latest,latest,latest,"CCCS, CERT NZ, NZ NCSC","CCCS, CERT NZ, NZ NCSC","CCCS, CERT NZ, NZ NCSC","CCCS, CERT NZ, NZ NCSC",TRUE,Apache Log4j,TRUE,TRUE
aa23-136a_chunk_8.txt,512,,an interface for anti-malware scanners to inspect scripts prior to execution,an interface for anti-malware scanners to inspect scripts prior to execution,an interface for anti-malware scanners to inspect scripts prior to execution,an interface for anti-malware scanners to inspect scripts prior to execution,list of all accounts from Domain Computers group,list of all accounts from Domain Computers group,list of all accounts from Domain Computers group,list of all accounts from Domain Computers group,provides an interface for anti-malware scanners to inspect scripts prior to execution,provides an interface for anti-malware scanners to inspect scripts prior to execution,provides an interface for anti-malware scanners to inspect scripts prior to execution,provides an interface for anti-malware scanners to inspect scripts prior to execution
icsa-23-166-11_chunk_8.txt,512,,It is possible to launch the attack remotely,It is possible to launch the attack remotely,It is possible to launch the attack remotely,It is possible to launch the attack remotely,.g,.g,.g,.g,3.2.52 USE AFTER FREE CWE-416,3.2.52 USE AFTER FREE CWE-416,3.2.52 USE AFTER FREE CWE-416,3.2.52 USE AFTER FREE CWE-416
aa23-278a_chunk_11.txt,512,,Lack of phishing-resistant MFA,Lack of phishing-resistant MFA,Lack of phishing-resistant MFA,Lack of phishing-resistant MFA,"” and unique [CPG 2.B],[M1027],[D","” and unique [CPG 2.B],[M1027],[D","” and unique [CPG 2.B],[M1027],[D","” and unique [CPG 2.B],[M1027],[D",FALSE,FALSE,FALSE,FALSE
aa22-055a_chunk_2.txt,512,,hexadecimal (hex)-encoded strings,hexadecimal (hex)-encoded strings,hexadecimal (hex)-encoded strings,hexadecimal (hex)-encoded strings,e.g,e.g,e.g,e.g,hexadecimal (hex)-encoded strings that have been reshuffled,hexadecimal (hex)-encoded strings that have been reshuffled,hexadecimal (hex)-encoded strings that have been reshuffled,hexadecimal (hex)-encoded strings that have been reshuffled
home-network-security_chunk_4.txt,512,,Install firewalls on network devices,Install firewalls on network devices,Install firewalls on network devices,Install firewalls on network devices,"addition to a network firewall, consider installing a firewall on all computers connected","addition to a network firewall, consider installing a firewall on all computers connected","addition to a network firewall, consider installing a firewall on all computers connected","addition to a network firewall, consider installing a firewall on all computers connected",TRUE,TRUE,TRUE,TRUE
